Task_name,Input_data_size,Duration(s),maxExecutor,hibench.rf.examples
rf_65,29282205128,304.713,57,36600
rf_66,15361156440,261.585,42,19200
rf_67,8160615848,184.914,36,10200
rf_68,24481843928,287.654,36,30600
rf_69,14401084200,561.359,10,18000
rf_70,7680578520,270.961,16,9600
rf_71,9600723000,578.479,6,12000
rf_72,7680578520,236.374,24,9600
rf_73,17761338248,377.461,24,22200
rf_74,9120688088,182.354,32,11400
rf_75,37922855288,270.665,72,47400
rf_76,7680578520,143.608,60,9600
rf_77,21601627208,326.836,33,27000
rf_78,11040832568,305.91,24,13800
rf_79,16321228680,295.796,24,20400
rf_80,10080760328,556.938,9,12600
rf_81,22561699448,223.887,80,28200
rf_82,24961878840,310.45,40,31200
rf_83,30242277368,271.048,48,37800
rf_84,9120688088,257.697,20,11400
rf_85,17761338248,200.527,72,22200
rf_86,19201445400,279.89,48,24000
rf_87,27362060648,317.326,52,34200
rf_88,23521771688,298.88,42,29400
rf_89,12000904808,340.864,18,15000
rf_90,12960977048,464.447,16,16200
rf_91,18721410488,290.373,33,23400
rf_92,17281300920,237.792,48,21600
rf_93,12480939720,209.735,52,15600
rf_94,27842095560,267.885,54,34800
rf_95,11040832568,450.404,12,13800
rf_96,24481843928,323.806,45,30600
rf_97,21121589880,321.841,40,26400
rf_98,13921049288,241.333,42,17400
rf_99,8160615848,307.276,12,10200
rf_100,13441011960,205.044,35,16800
rf_101,320024080600,1670.788,200,400000
rf_102,640048160600,3337.255,200,800000
rf_103,2400180600600,5963.056,1000,3000000
rf_104,4000301000600,8157.567,1000,5000000
rf_105,800060200600,3126.212,1000,1000000
