Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pagerank.pages
pagerank_54,745080459,103.669,19,1350000
pagerank_55,422625339,159.068,6,800000
pagerank_56,653546522,108.411,19,1200000
pagerank_57,476978293,119.343,28,900000
pagerank_58,449788967,199.787,4,850000
pagerank_59,531470496,142.047,13,1000000
pagerank_60,775643421,121.673,18,1400000
pagerank_61,2127332518,149.101,60,3600000
pagerank_62,1571474499,115.433,50,2700000
pagerank_63,1448808441,137.98,57,2500000
pagerank_64,1234457971,117.886,66,2150000
pagerank_65,1787316603,133.676,57,3050000
pagerank_66,897906006,116.976,42,1600000
pagerank_67,449788967,113.046,36,850000
pagerank_68,1479458389,144.11,36,2550000
pagerank_69,836736090,149.965,10,1500000
pagerank_70,422625339,99.037,16,800000
pagerank_71,531470496,141.978,6,1000000
pagerank_72,422625339,122.028,24,800000
pagerank_73,1050787566,117.79,24,1850000
pagerank_74,504218743,105.595,32,950000
pagerank_75,2343734984,151.601,72,3950000
pagerank_76,422625339,102.395,60,800000
pagerank_77,1295693713,129.267,33,2250000
pagerank_78,623044633,150.294,24,1150000
pagerank_79,959058976,153.821,24,1700000
pagerank_80,561991495,100.302,9,1050000
pagerank_81,1356917607,113.042,80,2350000
pagerank_82,1510132298,128.708,40,2600000
pagerank_83,1849104840,115.666,48,3150000
pagerank_84,504218743,124.711,20,950000
pagerank_85,1050787566,118.028,72,1850000
pagerank_86,1142586071,125.367,48,2000000
pagerank_87,1663779777,150.622,52,2850000
pagerank_88,1418173308,155.153,42,2450000
pagerank_89,684042396,115.025,18,1250000
pagerank_90,745080459,102.224,16,1350000
pagerank_91,1111978314,107.595,33,1950000
pagerank_92,1020218880,152.397,48,1800000
pagerank_93,714554184,138.64,52,1300000
pagerank_94,1694678479,127.145,54,2900000
pagerank_95,623044633,121.879,12,1150000
pagerank_96,1479458389,154.445,45,2550000
pagerank_97,1265071694,118.475,40,2200000
pagerank_98,806196275,115.543,42,1450000
pagerank_99,449788967,111.953,12,850000
pagerank_100,775643421,114.478,35,1400000
pagerank_101,2684009452,192.31,200,4500000
pagerank_102,2684009452,185.824,1000,4500000
pagerank_103,2374622163,572.958,5,4000000
pagerank_104,2374622163,272.099,10,4000000
pagerank_105,2374622163,216.895,15,4000000
pagerank_106,2374622163,180.718,20,4000000
pagerank_107,2374622163,187.48,25,4000000
pagerank_108,2374622163,147.46,30,4000000
pagerank_109,2374622163,143.827,35,4000000
pagerank_110,2374622163,128.136,40,4000000
pagerank_111,2374622163,139.566,45,4000000
pagerank_112,2374622163,187.897,50,4000000
