Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_115,20081914726,332.659,20,100000000
gmm_116,6024576662,479.797,5,30000000
gmm_117,6024576746,207.765,10,30000000
gmm_118,6024576746,149.208,15,30000000
gmm_119,6024576764,102.91,20,30000000
gmm_120,6024576746,95.415,25,30000000
gmm_121,6024576698,94.411,30,30000000
gmm_122,6024576704,89.365,35,30000000
gmm_123,6024576746,101.351,40,30000000
gmm_124,6024576674,106.319,45,30000000
gmm_125,6024576692,99.807,50,30000000
gmm_1,2008194516,209.592,3,8000000
gmm_2,20081914706,430.419,17,100000000
gmm_3,2008194532,167.119,4,8000000
gmm_4,7028672264,167.886,16,34000000
gmm_5,8032767922,188.173,18,40000000
gmm_6,8032767754,165.371,19,40000000
gmm_7,20081914606,169.495,50,100000000
gmm_8,3012290060,260.078,3,14000000
gmm_9,20081914406,149.22,49,100000000
gmm_10,5020481196,140.974,11,23000000
gmm_11,5020481231,164.595,11,21000000
gmm_12,5020481221,155.164,10,22000000
gmm_13,5020481261,159.839,11,22000000
gmm_14,5020481131,86.117,24,25000000
gmm_15,4016385554,347.559,3,17000000
gmm_16,3012290051,286.629,3,14000000
gmm_17,5020481236,150.496,10,25000000
gmm_18,4016385582,90.283,23,18000000
gmm_19,4016385658,167.584,10,16000000
gmm_20,5020481181,130.051,11,24000000
gmm_21,4016385654,124.936,11,20000000
gmm_22,3012290039,140.999,10,13000000
gmm_23,4016385634,115.495,11,19000000
gmm_24,7028672201,98.132,24,33000000
gmm_25,4016385610,353.962,3,16000000
gmm_26,1004098948,98.933,3,5000000
gmm_27,5020481161,201.86,10,21000000
gmm_28,6024576824,102.869,23,27000000
gmm_29,3012290054,108.699,10,12000000
gmm_30,4016385682,199.592,11,16000000
gmm_31,12049150154,95.31,70,60000000
gmm_32,4016385630,106.057,23,20000000
gmm_33,7028672334,103.557,21,31000000
gmm_34,9036863390,126.583,27,41000000
gmm_35,4016385626,163.449,8,19000000
gmm_36,4016385650,96.069,15,19000000
gmm_37,7028672257,144.27,20,33000000
gmm_38,3012290081,279.642,4,11000000
gmm_39,4016385622,104.471,15,17000000
gmm_40,4016385606,87.054,19,18000000
gmm_41,4016385646,93.058,64,19000000
gmm_42,4016385626,109.837,14,16000000
gmm_43,6024576788,100.275,22,30000000
gmm_44,4016385618,126.101,9,18000000
gmm_45,5020481236,197.523,9,23000000
gmm_46,7028672306,136.891,29,31000000
gmm_47,8032767898,111.476,25,39000000
gmm_48,7028672271,132.626,29,32000000
gmm_49,5020481206,209.786,7,22000000
gmm_50,3012290096,294.309,3,11000000
gmm_51,17069627651,92.9,78,81000000
gmm_52,7028672250,132.191,21,34000000
gmm_53,5020481196,117.919,15,21000000
gmm_54,6024576686,95.818,19,27000000
gmm_55,4016385590,272.398,6,16000000
gmm_56,5020481271,98.601,19,24000000
gmm_57,4016385662,73.109,28,18000000
gmm_58,4016385690,487.463,4,17000000
gmm_59,4016385634,122.915,13,20000000
gmm_60,6024576740,111.419,18,28000000
gmm_61,15061436831,99.041,60,72000000
gmm_62,11045054601,102.297,50,54000000
gmm_63,10040959056,91.222,57,50000000
gmm_64,9036863480,99.909,66,43000000
gmm_65,13053245705,99.827,57,61000000
gmm_66,7028672292,80.268,42,32000000
gmm_67,4016385590,99.047,36,17000000
